 Afghanistan,2003,number of immigrants: 1235.0,number male: 512.0,number female: 723.0,Occupation: Sales,Leading states of permanent residence: ?,Age: 25-34 years,Marital Status: ?
 Afghanistan,2004,number of immigrants: 1323.0,number male: 555.0,number female: 766.0,Occupation: Sales,Leading states of permanent residence: ?,Age: 25-34 years,Marital Status: ?
 Afghanistan,2005,number of immigrants: 1464.0,number male: 575.0,number female: 888.0,Occupation: Sales,Leading states of permanent residence: ?,Age: 25-34 years,Marital Status: ?
 Afghanistan,2006,number of immigrants: 2018.0,number male: 769.0,number female: 1248.0,Occupation: Students or children,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Afghanistan,2007,number of immigrants: 2013.0,number male: 799.0,number female: 1214.0,Occupation: Students or children,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Afghanistan,2008,number of immigrants: 2650.0,number male: 1080.0,number female: 1569.0,Occupation: Students or children,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Afghanistan,2009,number of immigrants: 2588.0,number male: 1259.0,number female: 1329.0,Occupation: Students or children,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Afghanistan,2010,number of immigrants: 2230.0,number male: 1111.0,number female: 1118.0,Occupation: Students or children,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Africa,2006,number of immigrants: 50397.0,number male: 26206.0,number female: 24159.0,Occupation: Management/ professional/ and related occupations,Leading states of permanent residence: New York,Age: 35-44 years,Marital Status: ?
 Africa,2007,number of immigrants: 41652.0,number male: 21861.0,number female: 19776.0,Occupation: Management/ professional/ and related occupations,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Africa,2008,number of immigrants: 54420.0,number male: 28448.0,number female: 25958.0,Occupation: Management/ professional/ and related occupations,Leading states of permanent residence: California,Age: 35-44 years,Marital Status: ?
 Africa,2009,number of immigrants: 60383.0,number male: 33906.0,number female: 26460.0,Occupation: Management/ professional/ and related occupations,Leading states of permanent residence: California,Age: 25-34 years,Marital Status: ?
 Africa,2010,number of immigrants: 64023.0,number male: 34662.0,number female: 29357.0,Occupation: Management/ professional/ and related occupations,Leading states of permanent residence: California,Age: 35-44 years,Marital Status: ?
 Albania,2003,number of immigrants: 2284.0,number male: 1151.0,number female: 1132.0,Occupation: Service,Leading states of permanent residence: ?,Age: 35-44 years,Marital Status: ?
 Albania,2004,number of immigrants: 3324.0,number male: 1609.0,number female: 1708.0,Occupation: Service,Leading states of permanent residence: ?,Age: 35-44 years,Marital Status: ?
 Albania,2005,number of immigrants: 3830.0,number male: 1838.0,number female: 1986.0,Occupation: Operators/ fabricators/ laborers,Leading states of permanent residence: ?,Age: 35-44 years,Marital Status: ?
 Albania,2006,number of immigrants: 3964.0,number male: 1898.0,number female: 2064.0,Occupation: Students or children,Leading states of permanent residence: New York,Age: 25-34 years,Marital Status: ?
 Albania,2007,number of immigrants: 2786.0,number male: 1295.0,number female: 1490.0,Occupation: Students or children,Leading states of permanent residence: New York,Age: 25-34 years,Marital Status: ?
 Albania,2008,number of immigrants: 2972.0,number male: 1429.0,number female: 1543.0,Occupation: Students or children,Leading states of permanent residence: New York,Age: 25-34 years,Marital Status: ?
 Albania,2009,number of immigrants: 3483.0,number male: 1657.0,number female: 1826.0,Occupation: Students or children,Leading states of permanent residence: New York,Age: 25-34 years,Marital Status: ?
