State,Year,Number of immigrants,number male,number female,occupation,leading countries of birth,age,marital staus
 Alabama,2003,1182,546,636, Professional and technical, ?, 35-44 years, ?
 Alabama,2004,734,309,425, Professional and technical, ?, 25-34 years, ?
 Alabama,2005,795,347,448, Professional and technical, ?, 35-44 years, ?
 Alabama,2006,1946,795,1151, Management/ professional/ and related occupations, India, 35-44 years, ?
 Alabama,2007,1343,602,741, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Alabama,2008,1982,869,1113, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Alabama,2009,1775,824,951, Management/ professional/ and related occupations, India, 35-44 years, ?
 Alabama,2010,2027,905,1122, Management/ professional/ and related occupations, India, 35-44 years, ?
 Alaska,2003,745,300,445, Service, ?, 25-34 years, ?
 Alaska,2004,777,337,440, Service, ?, 25-34 years, ?
 Alaska,2005,951,430,521, Service, ?, 25-34 years, ?
 Alaska,2006,831,322,509, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Alaska,2007,849,340,509, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Alaska,2008,1145,488,657, Service occupations, Philippines, 25-34 years, ?
 Alaska,2009,1100,460,640, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Alaska,2010,831,347,484, Management/ professional/ and related occupations, Philippines, 25-34 years, ?
 Arizona,2003,7218,3143,4075, Professional and technical, ?, 35-44 years, ?
 Arizona,2004,6500,2902,3598, Professional and technical, ?, 35-44 years, ?
 Arizona,2005,6785,2895,3890, Professional and technical, ?, 35-44 years, ?
 Arizona,2006,9707,4405,5302, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arizona,2007,12091,5530,6561, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arizona,2008,24055,10584,13471, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arizona,2009,12377,5875,6502, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arizona,2010,10340,4827,5513, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arkansas,2003,715,330,385, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Arkansas,2004,823,388,435, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Arkansas,2005,990,432,558, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Arkansas,2006,1133,527,606, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Arkansas,2007,1214,568,646, Production/ transportation/ and material moving occupations, Mexico, 25-34 years, ?
 Arkansas,2008,2330,1086,1244, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Arkansas,2009,1648,821,827, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Arkansas,2010,1275,586,689, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 California,2003,135599,60924,74675, Professional and technical, ?, 35-44 years, ?
 California,2004,145594,65164,80430, Professional and technical, ?, 35-44 years, ?
 California,2005,170489,74064,96425, Professional and technical, ?, 35-44 years, ?
 California,2006,152836,68331,84505, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 California,2007,181684,80098,101586, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 California,2008,297909,128193,169714, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 California,2009,179754,83430,96324, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 California,2010,129354,59705,69647, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Colorado,2003,4833,2248,2585, Professional and technical, ?, 35-44 years, ?
 Colorado,2004,6007,2671,3336, Service, ?, 35-44 years, ?
 Colorado,2005,5681,2586,3095, Professional and technical, ?, 25-34 years, ?
