 Alabama,2003,number female,636.0,number male,546.0,number of immigrants,1182.0,Professional and technical,2004,number female,425.0,number male,309.0,number of immigrants,734.0,Professional and technical,2005,number female,448.0,number male,347.0,number of immigrants,795.0,Professional and technical,2006,number female,1151.0,number male,795.0,number of immigrants,1946.0,India,"Management, professional, and related occupations",2007,number female,741.0,number male,602.0,number of immigrants,1343.0,Mexico,"Management, professional, and related occupations",2008,number female,1113.0,number male,869.0,number of immigrants,1982.0,Mexico,"Management, professional, and related occupations",2009,number female,951.0,number male,824.0,number of immigrants,1775.0,India,"Management, professional, and related occupations",2010,number female,1122.0,number male,905.0,number of immigrants,2027.0,India,"Management, professional, and related occupations"
 Alaska,2003,number female,445.0,number male,300.0,number of immigrants,745.0,Service,2004,number female,440.0,number male,337.0,number of immigrants,777.0,Service,2005,number female,521.0,number male,430.0,number of immigrants,951.0,Service,2006,number female,509.0,number male,322.0,number of immigrants,831.0,Philippines,"Management, professional, and related occupations",2007,number female,509.0,number male,340.0,number of immigrants,849.0,Philippines,"Management, professional, and related occupations",2008,number female,657.0,number male,488.0,number of immigrants,1145.0,Philippines,Service occupations,2009,number female,640.0,number male,460.0,number of immigrants,1100.0,Philippines,"Management, professional, and related occupations",2010,number female,484.0,number male,347.0,number of immigrants,831.0,Philippines,"Management, professional, and related occupations"
 Arizona,2003,number female,4075.0,number male,3143.0,number of immigrants,7218.0,Professional and technical,2004,number female,3598.0,number male,2902.0,number of immigrants,6500.0,Professional and technical,2005,number female,3890.0,number male,2895.0,number of immigrants,6785.0,Professional and technical,2006,number female,5302.0,number male,4405.0,number of immigrants,9707.0,Mexico,"Management, professional, and related occupations",2007,number female,6561.0,number male,5530.0,number of immigrants,12091.0,Mexico,"Management, professional, and related occupations",2008,number female,13471.0,number male,10584.0,number of immigrants,24055.0,Mexico,"Management, professional, and related occupations",2009,number female,6502.0,number male,5875.0,number of immigrants,12377.0,Mexico,"Management, professional, and related occupations",2010,number female,5513.0,number male,4827.0,number of immigrants,10340.0,Mexico,"Management, professional, and related occupations"
 Arkansas,2003,number female,385.0,number male,330.0,number of immigrants,715.0,"Operators, fabricators, laborers",2004,number female,435.0,number male,388.0,number of immigrants,823.0,"Operators, fabricators, laborers",2005,number female,558.0,number male,432.0,number of immigrants,990.0,"Operators, fabricators, laborers",2006,number female,606.0,number male,527.0,number of immigrants,1133.0,Mexico,"Production, transportation, and material moving occupations",2007,number female,646.0,number male,568.0,number of immigrants,1214.0,Mexico,"Production, transportation, and material moving occupations",2008,number female,1244.0,number male,1086.0,number of immigrants,2330.0,Mexico,"Production, transportation, and material moving occupations",2009,number female,827.0,number male,821.0,number of immigrants,1648.0,Mexico,"Management, professional, and related occupations",2010,number female,689.0,number male,586.0,number of immigrants,1275.0,Mexico,"Management, professional, and related occupations"
 California,2003,number female,74675.0,number male,60924.0,number of immigrants,135599.0,Professional and technical,2004,number female,80430.0,number male,65164.0,number of immigrants,145594.0,Professional and technical,2005,number female,96425.0,number male,74064.0,number of immigrants,170489.0,Professional and technical,2006,number female,84505.0,number male,68331.0,number of immigrants,152836.0,Mexico,"Management, professional, and related occupations",2007,number female,101586.0,number male,80098.0,number of immigrants,181684.0,Mexico,"Management, professional, and related occupations",2008,number female,169714.0,number male,128193.0,number of immigrants,297909.0,Mexico,"Management, professional, and related occupations",2009,number female,96324.0,number male,83430.0,number of immigrants,179754.0,Mexico,"Management, professional, and related occupations",2010,number female,69647.0,number male,59705.0,number of immigrants,129354.0,Mexico,"Management, professional, and related occupations"
 Colorado,2003,number female,2585.0,number male,2248.0,number of immigrants,4833.0,Professional and technical,2004,number female,3336.0,number male,2671.0,number of immigrants,6007.0,Service,2005,number female,3095.0,number male,2586.0,number of immigrants,5681.0,Professional and technical,2006,number female,2941.0,number male,2585.0,number of immigrants,5526.0,Mexico,"Management, professional, and related occupations",2007,number female,4279.0,number male,3550.0,number of immigrants,7829.0,Mexico,"Management, professional, and related occupations",2008,number female,6568.0,number male,5404.0,number of immigrants,11972.0,Mexico,"Management, professional, and related occupations",2009,number female,3647.0,number male,3166.0,number of immigrants,6813.0,Mexico,"Management, professional, and related occupations",2010,number female,3761.0,number male,3404.0,number of immigrants,7165.0,Mexico,"Management, professional, and related occupations"
 Connecticut,2003,number female,2433.0,number male,1851.0,number of immigrants,4284.0,Professional and technical,2004,number female,3322.0,number male,2635.0,number of immigrants,5957.0,Professional and technical,2005,number female,4499.0,number male,3670.0,number of immigrants,8169.0,Professional and technical,2006,number female,4017.0,number male,3214.0,number of immigrants,7231.0,Jamaica,Students or children,2007,number female,2537.0,number male,2015.0,number of immigrants,4552.0,India,"Management, professional, and related occupations",2008,number female,5521.0,number male,4068.0,number of immigrants,9589.0,Jamaica,"Management, professional, and related occupations",2009,number female,5653.0,number male,4768.0,number of immigrants,10421.0,India,"Management, professional, and related occupations",2010,number female,3987.0,number male,3465.0,number of immigrants,7452.0,India,"Management, professional, and related occupations"
 Delaware,2003,number female,355.0,number male,352.0,number of immigrants,707.0,Professional and technical,2004,number female,510.0,number male,472.0,number of immigrants,982.0,Professional and technical,2005,number female,508.0,number male,437.0,number of immigrants,945.0,Executive and managerial,2006,number female,659.0,number male,528.0,number of immigrants,1187.0,India,"Management, professional, and related occupations",2007,number female,567.0,number male,527.0,number of immigrants,1094.0,India,"Management, professional, and related occupations",2008,number female,765.0,number male,660.0,number of immigrants,1425.0,India,"Management, professional, and related occupations",2009,number female,783.0,number male,762.0,number of immigrants,1545.0,India,"Management, professional, and related occupations",2010,number female,937.0,number male,892.0,number of immigrants,1829.0,India,"Management, professional, and related occupations"
 District of Columbia,2003,number female,470.0,number male,382.0,number of immigrants,852.0,Service,2004,number female,462.0,number male,420.0,number of immigrants,882.0,Service,2005,number female,553.0,number male,386.0,number of immigrants,939.0,Service,2006,number female,610.0,number male,479.0,number of immigrants,1089.0,Ethiopia,Students or children,2007,number female,708.0,number male,626.0,number of immigrants,1334.0,El Salvador,Students or children,2008,number female,823.0,number male,669.0,number of immigrants,1492.0,El Salvador,"Management, professional, and related occupations",2009,number female,1233.0,number male,955.0,number of immigrants,2188.0,Ethiopia,"Management, professional, and related occupations",2010,number female,723.0,number male,596.0,number of immigrants,1319.0,Ethiopia,"Management, professional, and related occupations"
 Florida,2003,number female,19363.0,number male,15742.0,number of immigrants,35105.0,Service,2004,number female,24726.0,number male,19069.0,number of immigrants,43795.0,Professional and technical,2005,number female,24846.0,number male,18153.0,number of immigrants,42999.0,Professional and technical,2006,number female,51989.0,number male,38857.0,number of immigrants,90846.0,Cuba,"Management, professional, and related occupations",2007,number female,31122.0,number male,23441.0,number of immigrants,54563.0,Cuba,"Management, professional, and related occupations",2008,number female,75193.0,number male,53135.0,number of immigrants,128328.0,Cuba,"Management, professional, and related occupations",2009,number female,44548.0,number male,38240.0,number of immigrants,82788.0,Cuba,"Management, professional, and related occupations",2010,number female,37005.0,number male,30479.0,number of immigrants,67484.0,Cuba,"Management, professional, and related occupations"
