 Afghanistan,2003,number of immigrants,1235.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,512.0,number female,723.0,2004,number of immigrants,1323.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,555.0,number female,766.0,2005,number of immigrants,1464.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,575.0,number female,888.0,2006,number of immigrants,2018.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,769.0,number female,1248.0,2007,number of immigrants,2013.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,799.0,number female,1214.0,2008,number of immigrants,2650.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,1080.0,number female,1569.0,2009,number of immigrants,2588.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,1259.0,number female,1329.0,2010,number of immigrants,2230.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,1111.0,number female,1118.0
 Africa,2003,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2004,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2005,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2006,number of immigrants,50397.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,26206.0,number female,24159.0,2007,number of immigrants,41652.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,21861.0,number female,19776.0,2008,number of immigrants,54420.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,28448.0,number female,25958.0,2009,number of immigrants,60383.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,33906.0,number female,26460.0,2010,number of immigrants,64023.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,34662.0,number female,29357.0
 Albania,2003,number of immigrants,2284.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,1151.0,number female,1132.0,2004,number of immigrants,3324.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,1609.0,number female,1708.0,2005,number of immigrants,3830.0,Occupation,"Operators, fabricators, laborers",Leading states of permanent residence,,Leading countries of birth,,number male,1838.0,number female,1986.0,2006,number of immigrants,3964.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,1898.0,number female,2064.0,2007,number of immigrants,2786.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,1295.0,number female,1490.0,2008,number of immigrants,2972.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,1429.0,number female,1543.0,2009,number of immigrants,3483.0,Occupation,Students or children,Leading states of permanent residence,New York,Leading countries of birth,,number male,1657.0,number female,1826.0,2010,number of immigrants,5088.0,Occupation,Service occupations,Leading states of permanent residence,New York,Leading countries of birth,,number male,2520.0,number female,2568.0
 Algeria,2003,number of immigrants,493.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,332.0,number female,161.0,2004,number of immigrants,616.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,385.0,number female,230.0,2005,number of immigrants,722.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,452.0,number female,270.0,2006,number of immigrants,825.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,492.0,number female,333.0,2007,number of immigrants,578.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,359.0,number female,219.0,2008,number of immigrants,894.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,567.0,number female,327.0,2009,number of immigrants,1024.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,665.0,number female,359.0,2010,number of immigrants,808.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,474.0,number female,334.0
 American Samoa,2003,number of immigrants,117.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,47.0,number female,70.0,2004,number of immigrants,137.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,52.0,number female,85.0,2005,number of immigrants,294.0,Occupation,Military,Leading states of permanent residence,,Leading countries of birth,,number male,200.0,number female,94.0,2006,number of immigrants,247.0,Occupation,Military,Leading states of permanent residence,Hawaii,Leading countries of birth,,number male,140.0,number female,107.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,178.0,Occupation,Military,Leading states of permanent residence,California,Leading countries of birth,,number male,82.0,number female,96.0,2009,number of immigrants,265.0,Occupation,Military,Leading states of permanent residence,Virginia,Leading countries of birth,,number male,146.0,number female,119.0,2010,number of immigrants,232.0,Occupation,Military,Leading states of permanent residence,California,Leading countries of birth,,number male,97.0,number female,135.0
 Angola,2003,number of immigrants,64.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,34.0,number female,30.0,2004,number of immigrants,87.0,Occupation,Executive and managerial,Leading states of permanent residence,,Leading countries of birth,,number male,35.0,number female,51.0,2005,number of immigrants,86.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,44.0,number female,42.0,2006,number of immigrants,106.0,Occupation,Sales and office occupations,Leading states of permanent residence,Massachusetts,Leading countries of birth,,number male,47.0,number female,58.0,2007,number of immigrants,105.0,Occupation,Students or children,Leading states of permanent residence,Massachusetts,Leading countries of birth,,number male,52.0,number female,53.0,2008,number of immigrants,161.0,Occupation,Students or children,Leading states of permanent residence,Massachusetts,Leading countries of birth,,number male,80.0,number female,81.0,2009,number of immigrants,95.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Massachusetts,Leading countries of birth,,number male,55.0,number female,39.0,2010,number of immigrants,135.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Massachusetts,Leading countries of birth,,number male,83.0,number female,52.0
 Anguilla,2003,number of immigrants,24.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,12.0,number female,12.0,2004,number of immigrants,10.0,Occupation,"Farming, forestry, fisheries",Leading states of permanent residence,,Leading countries of birth,,number male,0.0,number female,10.0,2005,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2006,number of immigrants,35.0,Occupation,Students or children,Leading states of permanent residence,U.S. Possessions,Leading countries of birth,,number male,19.0,number female,16.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,47.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,20.0,number female,27.0,2009,number of immigrants,29.0,Occupation,Students or children,Leading states of permanent residence,Georgia,Leading countries of birth,,number male,12.0,number female,16.0,2010,number of immigrants,26.0,Occupation,Unemployed,Leading states of permanent residence,Georgia,Leading countries of birth,,number male,14.0,number female,12.0
 Antigua and Barbuda,2003,number of immigrants,325.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,141.0,number female,184.0,2004,number of immigrants,357.0,Occupation,Service,Leading states of permanent residence,,Leading countries of birth,,number male,169.0,number female,185.0,2005,number of immigrants,371.0,Occupation,"Operators, fabricators, laborers",Leading states of permanent residence,,Leading countries of birth,,number male,161.0,number female,209.0,2006,number of immigrants,520.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,220.0,number female,300.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,661.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,253.0,number female,407.0,2009,number of immigrants,456.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,214.0,number female,241.0,2010,number of immigrants,341.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,New York,Leading countries of birth,,number male,150.0,number female,191.0
 Argentina,2003,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2004,number of immigrants,1965.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,939.0,number female,1017.0,2005,number of immigrants,1976.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,970.0,number female,1002.0,2006,number of immigrants,2695.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,1230.0,number female,1461.0,2007,number of immigrants,,Occupation,,Leading states of permanent residence,,Leading countries of birth,,number male,,number female,,2008,number of immigrants,4170.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,1883.0,number female,2285.0,2009,number of immigrants,3153.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,1522.0,number female,1631.0,2010,number of immigrants,3140.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,Florida,Leading countries of birth,,number male,1512.0,number female,1628.0
 Armenia,2003,number of immigrants,1673.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,728.0,number female,945.0,2004,number of immigrants,1793.0,Occupation,Sales,Leading states of permanent residence,,Leading countries of birth,,number male,822.0,number female,971.0,2005,number of immigrants,1737.0,Occupation,Professional and technical,Leading states of permanent residence,,Leading countries of birth,,number male,758.0,number female,978.0,2006,number of immigrants,1605.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,702.0,number female,901.0,2007,number of immigrants,1495.0,Occupation,Students or children,Leading states of permanent residence,California,Leading countries of birth,,number male,612.0,number female,882.0,2008,number of immigrants,2195.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,912.0,number female,1282.0,2009,number of immigrants,2021.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,874.0,number female,1147.0,2010,number of immigrants,3168.0,Occupation,"Management, professional, and related occupations",Leading states of permanent residence,California,Leading countries of birth,,number male,1379.0,number female,1789.0
